Tag,Name,Unit,Value Type,Unique Values (Real),Missing Values (%) (Real),Missing Values (%) (Label 7 - WELL-00022 - Instance 656),Missing Values (%) (Label 7 - WELL-00024 - Instance 654),Missing Values (%) (Label 7 - WELL-00024 - Instance 653),Missing Values (%) (Label 7 - WELL-00024 - Instance 655),Missing Values (%) (Label 7 - WELL-00024 - Instance 652),Missing Values (%) (Label 7 - WELL-00024 - Instance 651),Missing Values (%) (Label 7 - WELL-00024 - Instance 662),Missing Values (%) (Label 7 - WELL-00006 - Instance 661),Missing Values (%) (Label 7 - WELL-00024 - Instance 659),Missing Values (%) (Label 7 - WELL-00024 - Instance 664),Missing Values (%) (Label 7 - WELL-00024 - Instance 658),Missing Values (%) (Label 7 - WELL-00021 - Instance 657),Missing Values (%) (Label 7 - WELL-00023 - Instance 663),Missing Values (%) (Label 7 - WELL-00024 - Instance 660),Missing Values (%) (Label 7 - WELL-00023 - Instance 665),Missing Values (%) (Label 7 - WELL-00024 - Instance 675),Missing Values (%) (Label 7 - WELL-00022 - Instance 671),Missing Values (%) (Label 7 - WELL-00021 - Instance 673),Missing Values (%) (Label 7 - WELL-00024 - Instance 668),Missing Values (%) (Label 7 - WELL-00022 - Instance 672),Missing Values (%) (Label 7 - WELL-00022 - Instance 670),Missing Values (%) (Label 7 - WELL-00022 - Instance 674),Missing Values (%) (Label 7 - WELL-00001 - Instance 666),Missing Values (%) (Label 7 - WELL-00024 - Instance 667),Missing Values (%) (Label 7 - WELL-00024 - Instance 669),Missing Values (%) (Label 7 - WELL-00024 - Instance 677),Missing Values (%) (Label 7 - WELL-00023 - Instance 686),Missing Values (%) (Label 7 - WELL-00022 - Instance 678),Missing Values (%) (Label 7 - WELL-00022 - Instance 683),Missing Values (%) (Label 7 - WELL-00022 - Instance 682),Missing Values (%) (Label 7 - WELL-00024 - Instance 684),Missing Values (%) (Label 7 - WELL-00006 - Instance 679),Missing Values (%) (Label 7 - WELL-00024 - Instance 681),Missing Values (%) (Label 7 - WELL-00024 - Instance 680),Missing Values (%) (Label 7 - WELL-00023 - Instance 685),Missing Values (%) (Label 7 - WELL-00024 - Instance 676)
P-ANULAR,Pressure in the well annulus,Pa,Continuous,1496311,22.5,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,100.0,0.0
ESTADO-XO,State of the XO (crossover) valve,"[0, 0.5, 1]",Categorical,2,43.6,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.3,100.0,100.0,100.0,100.0
P-JUS-BS,Downstream pressure of the SP (service pump),Pa,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-JUS-CKGL,Downstream pressure of the GLCK (gas lift choke),Pa,Continuous,2868202,23.8,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
P-MON-SDV-P,Upstream pressure of the production SDV (shutdown valve),Pa,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-MON-CKP,Upstream pressure of the PCK (production choke),Pa,Continuous,3479501,21.5,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
P-JUS-CKP,Downstream pressure of the PCK (production choke),Pa,Continuous,351370,89.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-MON-CKGL,Upstream pressure of the GLCK (gas lift choke),Pa,Continuous,92596,99.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-PDG,Pressure at the PDG (permanent downhole gauge),Pa,Continuous,1077171,24.1,0.0,100.0,0.1,96.3,21.5,6.7,11.7,0.0,0.0,0.0,33.0,0.0,100.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,100.0,0.0,0.0,0.0,0.0,0.3,0.0,20.0,100.0,6.2
PT-P,Downstream pressure of the PWV in the production tube,Pa,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-TPT,Pressure at the TPT (temperature and pressure transducer),Pa,Continuous,1782324,16.4,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,100.0,0.0
QBS,Flow rate at the SP (service pump),m3/s,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QGL,Gas lift flow rate,m3/s,Continuous,2310417,46.1,100.0,0.6,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.2,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.3,0.0,0.0,100.0,0.0
T-JUS-CKP,Downstream temperature of the PCK (production choke),°C,Continuous,3080444,48.8,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,100.0,0.0
T-MON-CKP,Upstream temperature of the PCK (production choke),°C,Continuous,1980654,84.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T-PDG,Temperature at the PDG (permanent downhole gauge),°C,Continuous,861293,36.7,0.0,100.0,0.1,96.3,21.5,6.7,11.7,0.0,0.0,0.0,33.0,0.0,100.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,20.0,0.0,6.2
class,Label of the observation,Label,Classifier,17,12.3,0.7,3.5,1.9,2.0,7.5,1.8,1.2,3.1,2.9,2.3,0.9,7.7,0.6,1.9,1.3,1.7,0.6,7.4,3.0,0.9,2.0,1.2,4.7,14.4,5.6,3.0,0.7,1.2,0.5,3.1,3.7,2.7,6.4,4.4,1.6,2.6
T-TPT,Temperature at the TPT (temperature and pressure transducer),°C,Continuous,1376954,13.6,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
label,Instance label (event type),Instance Label,Classifier,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
state,Well operational status,Operational Status,Classifier,9,12.3,0.7,3.5,1.9,2.0,7.5,1.8,1.2,3.1,2.9,2.3,0.9,7.7,0.6,1.9,1.3,1.7,0.6,7.4,3.0,0.9,2.0,1.2,4.7,14.4,5.6,3.0,0.7,1.2,0.5,3.1,3.7,2.7,6.4,4.4,1.6,2.6
well,Well name,Well Name,Identifier,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id,Instance identifier,Instance ID,Identifier,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Instance,Instance count based on manual labeling,Instance ID (Manual),Identifier,1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataType,"Real , simulated or hand-drawn",Dataset Type,Categorical,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,Timestamp,Timestamp,Timestamp,24910943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
