Tag,Name,Unit,Value Type,Unique Values (Real),Missing Values (%) (Real),Missing Values (%) (Label 2 - WELL-00011 - Instance 1089),Missing Values (%) (Label 2 - WELL-00002 - Instance 1099),Missing Values (%) (Label 2 - WELL-00011 - Instance 1098),Missing Values (%) (Label 2 - WELL-00011 - Instance 1103),Missing Values (%) (Label 2 - WELL-00011 - Instance 1100),Missing Values (%) (Label 2 - WELL-00012 - Instance 1087),Missing Values (%) (Label 2 - WELL-00003 - Instance 1107),Missing Values (%) (Label 2 - WELL-00011 - Instance 1090),Missing Values (%) (Label 2 - WELL-00010 - Instance 1102),Missing Values (%) (Label 2 - WELL-00011 - Instance 1096),Missing Values (%) (Label 2 - WELL-00003 - Instance 1091),Missing Values (%) (Label 2 - WELL-00009 - Instance 1097),Missing Values (%) (Label 2 - WELL-00011 - Instance 1088),Missing Values (%) (Label 2 - WELL-00011 - Instance 1095),Missing Values (%) (Label 2 - WELL-00013 - Instance 1101),Missing Values (%) (Label 2 - WELL-00011 - Instance 1086),Missing Values (%) (Label 2 - WELL-00012 - Instance 1093),Missing Values (%) (Label 2 - WELL-00003 - Instance 1104),Missing Values (%) (Label 2 - WELL-00011 - Instance 1094),Missing Values (%) (Label 2 - WELL-00011 - Instance 1106),Missing Values (%) (Label 2 - WELL-00011 - Instance 1105),Missing Values (%) (Label 2 - WELL-00011 - Instance 1092)
P-MON-CKGL,Upstream pressure of the GLCK (gas lift choke),Pa,Continuous,92596,99.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-PDG,Pressure at the PDG (permanent downhole gauge),Pa,Continuous,1077171,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT-P,Downstream pressure of the PWV in the production tube,Pa,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-TPT,Pressure at the TPT (temperature and pressure transducer),Pa,Continuous,1782324,16.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
QBS,Flow rate at the SP (service pump),m3/s,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QGL,Gas lift flow rate,m3/s,Continuous,2310417,46.1,100.0,100.0,100.0,100.0,100.0,3.0,5.5,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,10.4,0.0,100.0,100.0,100.0,100.0
T-JUS-CKP,Downstream temperature of the PCK (production choke),°C,Continuous,3080444,48.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T-MON-CKP,Upstream temperature of the PCK (production choke),°C,Continuous,1980654,84.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T-PDG,Temperature at the PDG (permanent downhole gauge),°C,Continuous,861293,36.7,1.6,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.9,0.0,0.0,0.0,100.0,0.0,6.5,0.0,0.0
class,Label of the observation,Label,Classifier,17,12.3,45.0,28.3,49.8,44.7,49.5,34.2,22.8,41.3,26.8,23.1,33.2,34.8,16.7,39.2,26.1,45.5,34.1,18.7,43.7,11.8,39.1,19.8
T-TPT,Temperature at the TPT (temperature and pressure transducer),°C,Continuous,1376954,13.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
label,Instance label (event type),Instance Label,Classifier,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
state,Well operational status,Operational Status,Classifier,9,12.3,45.0,28.3,49.8,44.7,49.5,34.2,22.8,41.3,26.8,23.1,33.2,34.8,16.7,39.2,26.1,45.5,34.1,18.7,43.7,11.8,39.1,19.8
well,Well name,Well Name,Identifier,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id,Instance identifier,Instance ID,Identifier,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Instance,Instance count based on manual labeling,Instance ID (Manual),Identifier,1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataType,"Real , simulated or hand-drawn",Dataset Type,Categorical,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,Timestamp,Timestamp,Timestamp,24910943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
