Tag,Name,Unit,Value Type,Unique Values (Real),Missing Values (%) (Real),Missing Values (%) (Label 9 - WELL-00034 - Instance 19),Missing Values (%) (Label 9 - WELL-00035 - Instance 0),Missing Values (%) (Label 9 - WELL-00016 - Instance 7),Missing Values (%) (Label 9 - WELL-00014 - Instance 6),Missing Values (%) (Label 9 - WELL-00010 - Instance 9),Missing Values (%) (Label 9 - WELL-00033 - Instance 17),Missing Values (%) (Label 9 - WELL-00035 - Instance 5),Missing Values (%) (Label 9 - WELL-00042 - Instance 1),Missing Values (%) (Label 9 - WELL-00033 - Instance 10),Missing Values (%) (Label 9 - WELL-00014 - Instance 3),Missing Values (%) (Label 9 - WELL-00020 - Instance 12),Missing Values (%) (Label 9 - WELL-00041 - Instance 8),Missing Values (%) (Label 9 - WELL-00016 - Instance 11),Missing Values (%) (Label 9 - WELL-00041 - Instance 2),Missing Values (%) (Label 9 - WELL-00037 - Instance 4),Missing Values (%) (Label 9 - WELL-00010 - Instance 13),Missing Values (%) (Label 9 - WELL-00042 - Instance 18),Missing Values (%) (Label 9 - WELL-00010 - Instance 14),Missing Values (%) (Label 9 - WELL-00033 - Instance 15),Missing Values (%) (Label 9 - WELL-00037 - Instance 16),Missing Values (%) (Label 9 - WELL-00034 - Instance 26),Missing Values (%) (Label 9 - WELL-00037 - Instance 29),Missing Values (%) (Label 9 - WELL-00033 - Instance 54),Missing Values (%) (Label 9 - WELL-00039 - Instance 22),Missing Values (%) (Label 9 - WELL-00033 - Instance 34),Missing Values (%) (Label 9 - WELL-00041 - Instance 50),Missing Values (%) (Label 9 - WELL-00039 - Instance 32),Missing Values (%) (Label 9 - WELL-00041 - Instance 43),Missing Values (%) (Label 9 - WELL-00016 - Instance 31),Missing Values (%) (Label 9 - WELL-00034 - Instance 39),Missing Values (%) (Label 9 - WELL-00033 - Instance 25),Missing Values (%) (Label 9 - WELL-00015 - Instance 27),Missing Values (%) (Label 9 - WELL-00041 - Instance 51),Missing Values (%) (Label 9 - WELL-00042 - Instance 56),Missing Values (%) (Label 9 - WELL-00035 - Instance 52),Missing Values (%) (Label 9 - WELL-00035 - Instance 41),Missing Values (%) (Label 9 - WELL-00041 - Instance 28),Missing Values (%) (Label 9 - WELL-00014 - Instance 33),Missing Values (%) (Label 9 - WELL-00036 - Instance 48),Missing Values (%) (Label 9 - WELL-00041 - Instance 44),Missing Values (%) (Label 9 - WELL-00036 - Instance 37),Missing Values (%) (Label 9 - WELL-00041 - Instance 55),Missing Values (%) (Label 9 - WELL-00041 - Instance 49),Missing Values (%) (Label 9 - WELL-00037 - Instance 35),Missing Values (%) (Label 9 - WELL-00035 - Instance 36),Missing Values (%) (Label 9 - WELL-00034 - Instance 21),Missing Values (%) (Label 9 - WELL-00040 - Instance 38),Missing Values (%) (Label 9 - WELL-00035 - Instance 30),Missing Values (%) (Label 9 - WELL-00036 - Instance 42),Missing Values (%) (Label 9 - WELL-00034 - Instance 23),Missing Values (%) (Label 9 - WELL-00038 - Instance 46),Missing Values (%) (Label 9 - WELL-00010 - Instance 20),Missing Values (%) (Label 9 - WELL-00042 - Instance 40),Missing Values (%) (Label 9 - WELL-00010 - Instance 45),Missing Values (%) (Label 9 - WELL-00034 - Instance 47),Missing Values (%) (Label 9 - WELL-00042 - Instance 53),Missing Values (%) (Label 9 - WELL-00038 - Instance 24)
ESTADO-XO,State of the XO (crossover) valve,"[0, 0.5, 1]",Categorical,2,43.6,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
P-JUS-BS,Downstream pressure of the SP (service pump),Pa,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-JUS-CKGL,Downstream pressure of the GLCK (gas lift choke),Pa,Continuous,2868202,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-MON-SDV-P,Upstream pressure of the production SDV (shutdown valve),Pa,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-MON-CKP,Upstream pressure of the PCK (production choke),Pa,Continuous,3479501,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-JUS-CKP,Downstream pressure of the PCK (production choke),Pa,Continuous,351370,89.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-MON-CKGL,Upstream pressure of the GLCK (gas lift choke),Pa,Continuous,92596,99.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-PDG,Pressure at the PDG (permanent downhole gauge),Pa,Continuous,1077171,24.1,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
PT-P,Downstream pressure of the PWV in the production tube,Pa,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P-TPT,Pressure at the TPT (temperature and pressure transducer),Pa,Continuous,1782324,16.4,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
QBS,Flow rate at the SP (service pump),m3/s,Empty,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QGL,Gas lift flow rate,m3/s,Continuous,2310417,46.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
T-JUS-CKP,Downstream temperature of the PCK (production choke),°C,Continuous,3080444,48.8,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
T-MON-CKP,Upstream temperature of the PCK (production choke),°C,Continuous,1980654,84.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T-PDG,Temperature at the PDG (permanent downhole gauge),°C,Continuous,861293,36.7,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
class,Label of the observation,Label,Classifier,17,12.3,4.2,3.1,21.1,9.6,4.1,29.0,6.3,9.6,10.1,5.1,48.5,8.6,28.9,1.9,11.4,4.7,6.4,18.3,8.4,35.3,19.0,11.6,11.2,8.7,17.1,3.6,14.4,3.5,7.9,20.3,14.4,28.7,2.5,31.4,25.7,6.7,10.8,16.7,33.5,1.9,50.4,8.9,2.1,16.5,12.6,20.1,10.5,33.5,33.7,10.1,3.8,15.9,11.6,19.0,11.2,13.5,10.6
T-TPT,Temperature at the TPT (temperature and pressure transducer),°C,Continuous,1376954,13.6,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
label,Instance label (event type),Instance Label,Classifier,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
state,Well operational status,Operational Status,Classifier,9,12.3,4.2,3.1,21.1,9.6,4.1,29.0,6.3,9.6,10.1,5.1,48.5,8.6,28.9,1.9,11.4,4.7,6.4,18.3,8.4,35.3,19.0,11.6,11.2,8.7,17.1,3.6,14.4,3.5,7.9,20.3,14.4,28.7,2.5,31.4,25.7,6.7,10.8,16.7,33.5,1.9,50.4,8.9,2.1,16.5,12.6,20.1,10.5,33.5,33.7,10.1,3.8,15.9,11.6,19.0,11.2,13.5,10.6
well,Well name,Well Name,Identifier,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id,Instance identifier,Instance ID,Identifier,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Instance,Instance count based on manual labeling,Instance ID (Manual),Identifier,1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataType,"Real , simulated or hand-drawn",Dataset Type,Categorical,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,Timestamp,Timestamp,Timestamp,24910943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
